normalized-losses,make,fuel-type,aspiration,num-of-doors,body-style,drive-wheels,engine-location,wheel-base,length,width,height,curb-weight,engine-type,num-of-cylinders,engine-size,fuel-system,bore,stroke,compression-ratio,horsepower,peak-rpm,city-mpg,highway-mpg,price,symboling
,,,,,,,,,,,,,,,,,,,,,,,,,
94.235189,volkswagen,diesel,turbo,four,hatchback,fwd,front,96.575655,173.369361,65.329051,54.678538,2193.379366,ohc,four,89.249734,2bbl,3.122279,3.295534,9.219909,57.578864,5988.161816,31.814042,34.50539,8605.484961,2
106.648646,volvo,diesel,turbo,four,sedan,rwd,front,109.846269,196.214268,68.502701,54.34862,3211.189054,ohc,four,111.024531,mfi,3.293933,3.392775,8.637036,113.705719,4490.621234,25.81765,35.053335,26633.56862,-1
118.472162,nissan,gas,std,four,wagon,fwd,front,95.024314,165.909864,64.804938,52.702199,2098.071603,ohc,four,96.317551,mpfi,3.051725,3.248152,9,117.757103,4799.168653,22.783708,27.76048,5900.71597,0
62.7176,porsche,gas,std,two,hatchback,rwd,front,100.174878,182.499698,68.385729,50.742249,1879.045004,ohcv,eight,144.228109,1bbl,3.238181,3.241202,9.278929,85.762326,5086.244824,14.949801,24.464281,8641.179741,1
105.808352,honda,gas,std,four,sedan,fwd,front,96.792849,172.594242,64.200921,55.741238,2353.389802,ohc,six,95.829115,2bbl,3.296874,3.506498,7.068202,73.15843,4417.985102,20.78126,19.686021,9831.490432,0
93.735865,subaru,gas,std,four,sedan,fwd,front,97.277106,168.543248,64.970183,55.585607,2183.898662,ohc,four,91.422567,mpfi,2.901834,3.62767,9.927075,57.598756,5564.018592,19.008377,26.535889,6797.463953,0
165.773776,mazda,gas,turbo,two,hatchback,fwd,front,95.4303,162.359375,66.54855,56.296382,2392.614202,ohc,six,117.012609,mpfi,2.878725,3.171054,9,110.451304,5940.41069,16.696118,19.43128,11539.47365,3
163.478164,nissan,diesel,turbo,four,sedan,fwd,front,96.223413,173.254285,64.70365,53.416676,2286.507038,ohc,four,93.405993,idi,3.16685,3.429633,9.278018,65.77688,5214.797106,35.445879,38.428893,9074.251331,0
158.639849,volkswagen,gas,turbo,two,hatchback,fwd,front,97.154472,157.860786,65.082857,55.405374,2609.932425,ohc,three,100.4152,mpfi,3.368587,3.772168,8.288339,118.243772,5122.837873,19.350046,19.89239,12519.53087,3
98.278149,volvo,gas,std,four,hatchback,rwd,front,113.533132,192.410446,64.177953,50.961958,3019.782749,ohc,six,136.170932,mpfi,3.694279,3.083717,8.902826,164.839204,5006.561572,19.564961,20.105817,14736.19007,-1
91.650881,volkswagen,diesel,std,two,hatchback,fwd,front,97.632374,173.211167,65.607535,54.51755,2204.412646,ohc,four,103.076744,idi,2.875609,3.415394,23.28633,97.769435,4824.173581,17.298607,30.473394,6079.211427,2
119.329194,honda,gas,std,four,sedan,rwd,front,96.745637,173.451847,65.672501,51.647823,2898.689902,l,four,86.035491,2bbl,3.45742,2.379694,8.747102,70.945398,5415.728174,18.796978,23.631434,13492.42442,0
73.654872,jaguar,gas,std,four,wagon,fwd,front,93.714126,177.820533,64.067901,52.021976,3233.987364,ohc,four,98.574404,2bbl,3.764243,3.347329,7.774497,97.241507,5765.456296,26.154955,39.944043,14267.71567,-1
146.313049,dodge,gas,std,two,hatchback,fwd,front,97.591857,181.382924,66.247954,50.168901,2464.896565,ohc,four,80.841752,mpfi,3.418408,3.169179,8.651621,59.259386,5831.220309,35.728941,34.742419,5857.869936,1
